Year, Month, Day, H, M, S, mS, DriveTrainDistanceL, DriveTrainDistanceR, DriveTrainRateL, DriveTrainRateR, DriveTrainLeft, DriveTrainRight, ChassisAngle, GyroSetpoint, GyroCompensation, GyroIsConnected, GyroIsCalibrating, ChassisX, ChassisY, leftDrivePID Error, Pressure, Shifter, LiftPosition, LiftVelocity, LiftOutput, LiftSetpoint, LiftCalibrated, PogoPosition, PogoOutput, PogoSetpoint, HandAngle, HandOutput, HandSetpoint, HandCalibrated, SensorPickupDistanceFiltered, SensorPickupDistanceRaw, SensorVoltage, BallInRange, HasBall, HasHatch, BatteryV, MatchTime, RobotMode, 
2017,2,19,22,48,45,93,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.627182404,7.463778785,0.670165947,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,109,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.627182404,7.657638187,0.654296808,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,127,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.657638187,8.042337776,0.624999936,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,153,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.657638187,7.750433373,0.64697259,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,181,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.463778785,7.377473798,0.677490165,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,202,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.657638187,7.688330119,0.651855402,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,220,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.688330119,7.959142613,0.631103451,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,237,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.688330119,7.566968587,0.661621026,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,253,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.566968587,7.391723609,0.676269462,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,269,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.566968587,7.391723609,0.676269462,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,45,293,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.566968587,7.959142613,0.631103451,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,305,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.566968587,7.959142613,0.631103451,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,321,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.566968587,7.522408437,0.665283135,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,353,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.522408437,7.845428894,0.639648372,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,377,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.76611109,7.926329,0.633544857,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,402,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.522408437,7.391723609,0.676269462,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,436,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.463778785,7.893776098,0.635986263,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,509,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.463778785,7.463778785,0.627441342,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,539,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.463778785,7.781850274,0.644531184,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,589,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.463778785,7.596960086,0.65917962,0,0,1,12.81865259,-1,0, 
2017,2,19,22,48,45,610,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.596960086,7.910020153,0.63476556,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,635,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.719260925,7.719260925,0.649413996,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,658,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.719260925,7.612042228,0.657958917,0,0,1,12.81865259,-1,0, 
2017,2,19,22,48,45,703,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.719260925,7.76611109,0.645751887,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,721,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.76611109,7.478353152,0.668945244,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,749,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.719260925,7.657638187,0.654296808,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,779,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.76611109,8.042337776,0.624999936,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,800,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.76611109,7.672954465,0.653076105,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,819,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.672954465,7.463778785,0.670165947,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,836,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.672954465,7.76611109,0.645751887,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,862,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.76611109,7.507667667,0.666503838,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,45,881,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.672954465,7.507667667,0.666503838,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,898,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.507667667,7.877596454,0.637206966,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,929,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.76611109,7.959142613,0.631103451,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,946,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.877596454,7.522408437,0.665283135,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,971,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.522408437,7.391723609,0.676269462,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,46,10,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.877596454,8.059179049,0.623779233,0,0,1,12.81865259,-1,0, 
2017,2,19,22,48,46,36,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.877596454,7.420383559,0.673828056,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,46,58,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.522408437,7.449259267,0.67138665,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,46,98,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.522408437,7.797651284,0.643310481,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,46,122,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.449259267,7.377473798,0.677490165,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,46,145,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.449259267,7.507667667,0.633544857,0,0,1,12.81865259,-1,0, 
2017,2,19,22,48,46,173,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.507667667,7.829440229,0.640869075,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,46,194,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.797651284,7.406026764,0.675048759,0,0,1,12.81865259,-1,0, 
2017,2,19,22,48,46,212,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.507667667,7.522408437,0.665283135,0,0,1,12.81237012,-1,0, 
2017,2,19,22,48,46,226,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.522408437,7.522408437,0.665283135,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,46,242,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.829440229,8.042337776,0.624999936,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,46,257,0,0,0,0,0,0,-6.610000134,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.829440229,7.719260925,0.649413996,0,0,1,12.81865259,-1,0, 
